POCO,BACIA,LATITUDE,LONGITUDE,TDEP,COT,,,
n/a,n/a,SIRGAS2000,SIRGAS2000,m,%,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5634,0.263,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5346,0.332,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5349,0.333,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5352,0.329,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5406,0.63,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5406,0.534,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5415,0.604,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5421,0.644,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5424,0.65,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5430,0.61,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5433,0.66,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5442,0.615,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5445,0.592,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5454,0.63,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5457,0.63,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5463,0.65,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5466,0.612,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5469,0.66,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5484,0.434,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5487,0.38,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5490,0.39,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5493,0.42,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5502,0.431,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5517,0.45,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5571,0.255,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5574,0.28,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5577,0.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5580,0.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5583,0.275,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5589,0.271,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5592,0.28,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5598,0.26,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5601,0.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5604,0.292,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5613,0.252,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5616,0.28,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5628,0.281,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5637,0.29,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5337,0.34,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5343,0.324,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5355,0.343,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5391,0.513,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5400,0.52,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5418,0.622,,,
