Mnemonics_Arquivos,Mnemonics_Variaveis,long_name,Descricao,Unidade,Data Atualização
,ITB_WALK2,Rendimento relativo fixo da ferramenta no fundo (SpectroLith WALK2 Modelo),Rendimento relativo fixo da ferramenta no fundo (SpectroLith WALK2 Modelo),Adimensional,NaT
,ITCR,Inelastic Total,Total inelástico,Adimensional,NaT
,ITCR1,Near Inel Count Rate,Razão inelástica de contas pelo sensor perto,cps,NaT
,ITCR2,Far Inel Count Rate,Razão inelástica de contas pelo sensor distante,cps,NaT
,ITEMP,Instrument Temperature,Temperatura do instrumento,degF,NaT
,ITMP,InstrTemp,Temperatura do instrumento,degF,NaT
,ITT,ITT Total,Tempo de viagem total integrado,ms,NaT
,ITT,Integrated Transit Time,Tempo de Trânsito Integrado,MS,NaT
,ITTC,Integrated Travel Time ¿ Compressional,Tempo de Transito Integrado - Compressional,ms,NaT
,ITTI,Integrated Transit Time,Tempo de Trânsito Integrado,MS,NaT
,ITTS,Integrated Travel Time ¿ Shear,Tempo de Transito Integrado - Cisalhamento,ms,NaT
,ITTT,ITT Total,Tempo de viagem total integrado,ms,NaT
,IV[0],Corrente vertical,Corrente vertical,UA,NaT
,IYAL,Rendimento relativo do alumínio inelástico,Rendimento relativo do alumínio inelástico,Adimensional,NaT
,IYAL_INCP,Rendimento relativo do alumínio inelástico (filtrado e corrigido para Input do processamento INCP),Rendimento relativo do alumínio inelástico (filtrado e corrigido para Input do processamento INCP),Adimensional,NaT
,IYAL_LS,Rendimento relativo do alumínio inelástico,Rendimento relativo do alumínio inelástico,Adimensional,NaT
,IYAL_SIG,Incerteza do Rendimento relativo do alumínio inelástico,Incerteza do Rendimento relativo do alumínio inelástico,Adimensional,NaT
,IYAL_SIG_INCP,Incerteza do Rendimento relativo do alumínio inelástico (filtrado e corrigido para Input do processamento INCP),Incerteza do Rendimento relativo do alumínio inelástico (filtrado e corrigido para Input do processamento INCP),Adimensional,NaT
,IYAL_SIG_LS,Incerteza do Rendimento relativo do alumínio inelástico,Incerteza do Rendimento relativo do alumínio inelástico,Adimensional,NaT
,IYBA,Rendimento relativo do bário  inelástico,Rendimento relativo do bário  inelástico,Adimensional,NaT
,IYBA_LS,Rendimento relativo do bário  inelástico,Rendimento relativo do bário  inelástico,Adimensional,NaT
,IYBA_SIG,Incerteza do Rendimento relativo do bário  inelástico,Incerteza do Rendimento relativo do bário  inelástico,Adimensional,NaT
,IYBA_SIG_LS,Incerteza do Rendimento relativo do bário  inelástico,Incerteza do Rendimento relativo do bário  inelástico,Adimensional,NaT
,IYC,Rendimento relativo do carbono  inelástico,Rendimento relativo do carbono  inelástico,Adimensional,NaT
,IYC_INCP,Rendimento relativo do carbono  inelástico (filtrado e corrigido para Input do processamento INCP),Rendimento relativo do carbono  inelástico (filtrado e corrigido para Input do processamento INCP),Adimensional,NaT
